ticket_system,title,overall_text,pros_text,cons_text,overall_rating,ease_of_use,customer_service,features,value_for_money,likelihood_to_recommend,Ticket Creation and Assignment,Automated Ticket Routing,Status Tracking and Updates,Priority and SLA Management,Customer and Agent Portals,Knowledge Base Integration,Email Notifications and Alerts,Reporting and Analytics,Customizable Workflows,"Multi-Channel Support (Email, Chat, Phone)"
Zoho Desk,Mejor inversión costo beneficio,Es la mejor herramienta de servicio al cliente y manejo de oportunidades para cerrar negocios,el impacto para generar oportunidades con los clientes y cerrar el negocio,hay que ser muy especifico en la informacion,5,5,5,5,5,10,1,0,0,0,1,0,0,0,-1,0
Zoho Desk,"Really like Zoho and their offers, it's a good software for the money spent",Organized information for supporting my customer and having their information on hand for any situation that might arise.,"I use Zoho Desk every day of the week Mon-Fri on my desktop at work and the app on the weekends to monitor my queue. Overall, this is a solid ticketing system for support issues for my customers since we are an email driven company. It's very organized and is updating all the time that includes new features and performance increases.","One of the cons I have, is their support team is a bit on the slow side when it comes to responses. This could be that their policies way different then my companies but we least respond in under 24 hours. The other con is their ability to understand what you are trying to describe to them for help. Their forums are a better resource than their support email.",4,5,2,4,5,8,1,0,1,0,0,0,1,1,0,-1
Zoho Desk,zoho desk,Pros:Tracking customer's challenges and resolving them.Also being able to get a report of the highest number of cases each team member has treated.,"Cons:The feedback rating system. An angry customer is able to give a bad rating even when its not the customer experience staff, that annoyed him.",Switched From:SugarCRM,5,5,,5,,10,-1,0,1,0,0,0,0,1,0,0
Zoho Desk,Service desk management the easy way,"Pros:Zoho Desk, in comparison to its competitors, was very easy to setup and install. We were able to get this running across the organization in no time at all.ZohoDesk's user interface is very clean and simple, being able to manage and track tickets with ease. We've also had great feedback from the users who are reporting issues via Zoho Desk that the submission system is clear and easy to use.Being able to integrate with other systems, like Google Contacts, has been very useful. Something it's competitors just dont do.","Cons:Language support is totally lacking, with any language other than English just not being supported at all. This is a particular problem for us, having to work with big numbers of international students and applicants.The automatic filtering in Zoho Desk leaves a lot to be desired, we've still not been able to configure it so spam emails are rejected and tickets not created.",,4,5,,3,,7,1,-1,1,0,1,0,-1,0,0,1
Zoho Desk,Couldn't live without it!,"Fantastic, very happy with the product and the support.","The integration between other Zoho tools, blueprint capabilities with building workflow, ease of assigning tickets to techs, remote access option directly through the tickets.",There is very little that I dislike about the tool. The only think I would say could be improved would be to add a tech calendar built in.,5,5,5,5,5,10,1,0,0,0,0,0,0,1,1,0
Zoho Desk,MY Review ON Zoho Desk,"As a user, I have been thoroughly impressed with my experience using Zoho Desk. The seamless integration and it has made my work processes easier and more efficient. I am delighted with my overall experience using this software and would highly recommend it to others.","I greatly appreciate the seamless integration of Zoho Desk with other Zoho products and third-party applications. This feature allows me to manage all my business processes from one central location, making it more convenient and efficient. I also like the automation tools, such as workflows and macros, offered by Zoho Desk.","I don't have any dislike for this tool asit help streamline and simplify customer service processes, making my work easier and more productive.",4,5,4,5,5,9,0,0,0,0,0,1,1,0,1,0
Zoho Desk,Zoho + Communication = Happy Customers,"With this software, our company is able to assist over thousands of customers on a daily basis with they equipment.","The most important features for myself as the front face of the company, is having the ability to find a customers support ticket in the queue and being able to get a message to the correct technician that can assist the customer. Very efficient and helpful",One feature that I would like to see or maybe shown how to use is the ability to merge duplicate customers when they are in the system,5,5,,4,,10,1,0,1,0,1,0,0,0,-1,0
Zoho Desk,Work and communicate with your clients safely,"The great utility that this tool offers is fascinating, it has served me both for work and personal use. Within my company we usually use this tool to communicate with our clients from all over the country, it also makes our work easier since it is available on mobile phones and we can use it wherever we are.","Zoho Desk is a great tool for both work and personal use since it allows us to carry out different actions such as sending emails, sending text messages, making live chats, and making calls to our clients, among others. In addition, this tool is one of the most used in my industry since it has greatly benefited us with its ease of use and the variety of options it contains.","This tool offers several options for its use and the way it can work is amazing. However, what I don't like about this tool is that it is somewhat expensive and has competition with other software.",5,5,5,4,2,8,1,0,0,0,1,0,0,-1,0,1
Zoho Desk,Review for Zoho Desk,Business problems which I am solving with Zoho Desk are as such:-1) Solving customer quries.2) Solving internal teams queries.3) Tracking pendign tickets.4) Collecting tickets from multiple channels.Benefits:-1) Saving time.2) Making our customers happy by timely solution of their queries.,"Things which I like most about ZohonDesk are as such:-1) Inexpensive2) Easy to customize, manage and use.3) User firendly UI.4) one of the best in the industry.5) Variety of Functions and customizations available.6) Easily integrate with multi-channel for collecting tickets.Even more..","Things which I like least about Zoho Desk are:-1) Speed at which it worksand apart from point 1, there is nothing else which I like least about zoho desk.",5,5,5,5,5,10,1,0,1,0,1,0,-1,1,1,1
Zoho Desk,Handy but still irksome...,Business - customer relations. We are able to amass a great wealth of product and customer feedback that we can reference in the future as needed. This alone is quite valuable and makes wanting to change services a less attractive option for us.,"Software facilitates customer - service relations and enables notes, attachments and status tracking to better serve our clients. Somewhat streamlined in appearance, which helps to keep the screen uncluttered.","Software is still clunky -- oftentimes, standard hotkeys end up changing the page settings where they otherwise would perform as expected on another interface. This happens surprisingly often and disrupts workflow when we strive to perform more efficiently when handling customer requests.",4,2,4,3,3,4,1,0,1,0,1,0,-1,0,-1,0
Zoho Desk,Very easy to use ticket management,Pros:Makes ticket management really easy to use and track.,"Cons:Lots of functionalities appreciated but not really that useful, as they are usually done by other dedicated software (like screen sharing).",Alternatives Considered:Redbooth,4,4,3,4,3,8,0,0,1,0,0,-1,0,0,0,0
Zoho Desk,The best help desk software,"Pros:Intuitive interface and its integration with Zoho CRM is my favourite. It's relatively low priced compared to Zendesk and provides some unique features the more expensive competitors don't provide, such as 24x5 Chat Support and all apps for running business from writing, presenting, reporting etc...In addition, it provides a free plan while Zendesk does not.",Cons:It's little bit slow to load. Its website menus have unique colors for each which seems to be inconsistent in my opinion.,Switched From:Mailchimp,3,4,3,5,4,10,1,-1,-1,0,1,0,1,0,0,1
Zoho Desk,Mamangingcustomer growth and issues with Zoho Desk.,Solving customer issues and recording solutions so they can be searched and shared on theKb if the problem occurs again.,The ticketing interface and merging of tickets,The SAML setup is not as easy to integrate as expected.,4,5,4,4,4,8,0,0,0,0,0,1,-1,0,1,0
Zoho Desk,I enjoy how easy it is to connect with our leads in real time,"We've used this program for customer support and services before, but this was the first time we utilized it to examine client behavior in light of certain criteria. As a result of using Zoho Desk, we have the ability to provide excellent customer service.","We've tried a lot of apps, but Zoho Desk stood out since it looked like a separate software. There is a free version for startups who need help managing a team of customers. I like Zoho Desk because it keeps a single, verifiable source of information available to both management and employees.","Scaling can be a little tricky when moving from a free version to a paid one, and certain modules may be able to be improved and made more efficient as a result.",4,4,5,5,4,9,1,0,0,-1,1,1,0,0,0,0
Zoho Desk,Too buggy for prime time.,"Very wonky. If it makes financial sense to use a different platform, do it. Our company is already too heavily tied to Zoho Desk to migrate to a better product, and there are more pressing matters to attend to right now.","It's the budget alternative to Zendesk, and it gets the job done.","WAY too many bugs. It would take me an hour to list them all. However, it's usable, so it's not completely junk. Some tasters of what's wrong with it include the fact that email templates are not unified. You have to edit each of them one by one, and if you want to change the sender address, you need to open each template and save it. If you save ten in a row too quickly, then you need to wait for their system to stop blocking your requests because their throttling mechanism will nab you.Another is that when you go to add a new agent, you fill out the form and THEN it asks you to upgrade your package. Sometimes the subscription upgrade page won't open. A better way to make it work is to replace the Add Agent button with a button to quickly add a new seat to your plan at the click of a button and then let you add an agent. They'll get money much faster that way, too.If you delete an agent to replace one, you need to reassign all of your tickets, even if the tickets need to be assigned to the new agent. So, someone else gets hit with all of the tickets instead of having the ability to add them to the new agent at all.",3,3,4,3,2,5,1,0,-1,0,0,0,-1,0,0,1
Zoho Desk,My experience with Desk,"Pros:We use Zoho Desk on a daily basis for several projects and to cover different needs and all I gotta say is that it is a ''must have'' app for most businesses. The adaptability, connectivity with other apps, ease of use, and configuration simply exceed expectations.","Cons:Zoho is constantly updating and making changes to their APIs without giving any notice, and sometimes this causes unexpected disconnections that affect operations.",,5,5,5,5,5,10,1,0,0,0,1,1,-1,0,0,0
Zoho Desk,It has helped us a lot in managing our customer support operations,"Pros:1. Love the way it makes ticket management so easy2. Various features like tagging, sorting, and assigning tickets are super helpful3. Love how other apps like SalesIQ, Knowledge Base, and Analytics and simply be integrated","Cons:1. While there is a wide range of features available, it still feels like we are underutilizing the product. Some more training and live assistance on calls to help with understanding the system fully would really help.2. The workflows are very complicated to set up, again - a more intuitive UI and training would help.2. They have recently changed their UI - but I honestly like the older UI MUCH better!",,4,3,4,4,,7,1,0,1,0,0,1,0,0,-1,0
Zoho Desk,Why Zoho Desk is a hack to skyrocket seamless and healthier business environment.,Hot deals. Zoho Desk gives exactly dazzling results. It has built the best for my clients.,"Easily adaptive tool. It can easily be integrated with other softwares that I use. Nevertheless, launching was such an easy task and productivity has risen beyond my expectations. I find Zoho quite user friendly and quick.",Always moving a step each day is my goal as a founder and I embrace Zoho Desk for smarter and progressively growing customers experience.,5,5,5,5,5,10,1,0,-1,0,1,1,0,0,0,0
Zoho Desk,Honest Review,Amazing and great experience with zoho always.,The software is ultimate and very friendly to use. I use this software to give remote support to my customers without going anywhere which saves my lot of time. Such a useful and helpful software with nice user interface.,Nothing least about this software from my side.,5,5,5,5,5,10,1,0,0,0,1,1,0,0,0,0
Zoho Desk,"Excellent en soi, exceptionnel lorsqu'il est synchronisé avec Zoho CRM",Zoho Desk est excellent en soi et encore meilleur lorsqu'il est synchronisé avec Zoho CRM.,L'intégration de Zoho Desk à Zoho CRM change la donne. L'interface utilisateur est intuitive et les fonctionnalités d'automatisation sont puissantes.,"Certains modèles d'e-mails par défaut peuvent être funky, mais c'est une solution facile.",5,4,5,5,5,9,0,1,0,0,1,0,-1,0,0,1
Zoho Desk,A useful device for maintaining your brand and serving customers,"Access management and performance reporting allow us to track agent performance, gauge customer satisfaction levels, and simply allocate any ticket to an agent. seamless interaction with other Zoho software, which facilitates quicker management and resolution of client issues.",Whatever you want can be tailored to fit the requirements of your platform. It keeps track of all pertinent client behaviour before contacts and aids in better anticipating their demands.,"The Zoho desk page can be a little confusing at first. The pace and quality we received throughout and (especially) after the implementation fell short of our expectations, which eventually caused us to terminate the membership and look for alternative alternatives. We're talking about tickets that haven't been followed up on for 20 days and incomplete answers to questions.",5,5,5,5,5,10,1,0,-1,0,0,1,-1,1,1,0
Zoho Desk,Building strong relationship between clients,"this software allowed me to boost my sales, and to establish a good marketing system.","this application allowed me to have excellent relationships with my clients and agents.With its ticket management functionality, I plan and manage customer requests more easily.With caller center, I manage to convert prospects to the potential customers.","as a user, I do not yet encounter any real problem in the use of zohodesk software.but the prices is low access for such software.",5,4,5,5,5,9,1,0,0,0,1,0,0,-1,0,1
Zoho Desk,zoho the best,Customers liked it. They choosed the Zoho first and We choosed. We liked.,easy to use for us and our customer. we are able to follow customer ticket easily.,SLA reporting part is easy and configurable.,5,5,5,5,5,10,1,0,1,-1,0,0,0,0,0,1
Zoho Desk,Inexpensive Customer Service Software,"Previous to using Zoho, we were managing all our CS in our email inbox. Items were getting lost or forgotten about and it was driving me crazy. Zoho has an excellent suite of products and this one is no exception! Easy to use (the basics at least). And, it's very inexpensive.",We chose Zoho because of the cost and the fact that we were already familiar with their software setup as we use their Survey software as well.,"Setting up some of the automations is a bit daunting, but we really just haven't taken the time to set it all up. Otherwise, our team really loves it!",5,4,,5,5,8,1,-1,0,0,1,0,0,0,0,0
Zoho Desk,Desk + Project = Nice Combo!,"Pros:After looking through a hundred or so integrated PPM, Project Management and Ticketing solutions, zoho scored best. They address most of our concerns out of the box.",Cons:would be great to push tasks to desk from project. A unifying view of both systems would make the solution more well rounded.,Switched From:Freshservice,5,5,4,5,5,8,1,-1,0,0,1,0,0,1,0,0
Zoho Desk,Zoho Desk,Zoho Desk is the best for customer care as it provides the facility to assign tickets automatically. It is stable for use.,Ticket assignment is automaticallyIt helps to enhance the relationship with clientsIt is a stable tool,Workflow is sometimes not instinctiveThere are limitations to living chatconfusing settings,5,4,,4,,10,1,0,0,0,1,0,0,0,-1,0
Zoho Desk,We are using Zoho Deskto support our customers since last 3 years.It is a great software.,"Pros:Easy to Use. Free edition has all the basic required features to keep it running for unlimited period of time. Free edition supports unlimited agents. Intergrates with CRM.It has feature to create multiple departments for support , so this software can be used to give support by mulitple departments. Multiple channels to interact with customers.I recommend this software to be used by anySME organization, who are looking for a softwareto support their customers. Zoho Support Team can be help in setting it up quickly.",Cons:Interface should be improved to quicly add all information. Ready to Use reports should be added more.,,4,4,5,4,5,10,1,0,0,0,1,0,0,-1,0,1
Zoho Desk,Zoho Desk is the professional tool to support customers in any industry.,"1- it is free2- This software supported us in showing a high level of professionalism3- It helps us to stay organized4- Communication is made very easy with the agents and consultants 5- support requests are centralized in one secure place6- While the ticket could be assigned to a specific agent, all other agents are aware of the ticket and can help each other7- This software is available on mobile and tablet, and that's really amazing8- The dashboard is of a great help for management. It creates a competitive spirit between the agents",Software UI Design is beautiful.Functionalities such as automatic ticket opening is amazing. The customer don't have to connect on your portal to create a ticket. They have just to send an email to the support email id that you define,There is no chatbot as it is the case for example in Zoho Books where you are constantly supported by someone on the bottom right corner of your window,5,5,5,5,5,10,1,1,0,0,1,-1,1,0,0,1
Zoho Desk,It's really great and easy to use,it really helped me to set up my customer service team without too much hustle.I love the product.,"I love the simplicity. I don't need to be a developer to set up the account.I also like the way I can integrate my team. The feature of channels is lover and the help desk has been very useful.One of my favorite features too is the happiness rating where I can see how the company and the agents are doing their work in genaral,",Not too much to say here.I would probbaly like to make easir the mapping and webforms module.I say this because I am not a developer andI really struggle to do this.i wish I could this on my own wihtout depending on IT guys.,5,5,5,5,5,9,1,0,0,0,1,0,0,0,-1,1
Zoho Desk,so far its pretty great.,SO far I am really impressed.,So far my team and I are really impressed with all the features. It has been quick for the test team learn how to use.,the pricing structure can be difficult.,5,4,5,5,4,8,1,1,1,-1,0,0,0,0,0,0
Zoho Desk,It is a very useful tool for organizing customer incident reports. enables effective ticket organiza,It is good and easy to use,"It was very simple to manage and it was tailored to our company's needs. Through the use of this software, we are able to reach our clients in an easy, personalized, fun, and dynamic way. It also allows us to plan and change the actions to be taken over time. It's one of the most comprehensive ones I'm aware of, although in the more expensive version, which is still the most affordable one on the market with on-screen keyboard, voice chat","The integration of our systems cost us a little, but it was resolved with zoho support.Due to its extensive functionality, I'll need a Partner Zoho to implement it; therefore, it's worthwhile to get in touch with a Premium Partner to avoid wasting time on implementation.",4,5,4,4,4,10,1,-1,0,0,1,0,0,1,-1,0
Zoho Desk,Best tools for customer service and customer communication.,"Pros:Ticket customization and best automation tools to respond customers. The UI interface is very easy to use. Customer service is the best in class as they come up with resolution very fast. Tracking of customer complain is easy, email, live chat.SMS are the best features available in this tools.","Cons:No major dislike, but in free plan we are not able to use full features.",,5,4,4,5,5,9,1,0,0,-1,1,0,1,0,0,1
Zoho Desk,A very good program that depends on it on a daily basis,A very practical and useful experience that I feel in my work field is already organized and the interdependence and means of communication between the departments are running smoothly,"This program is full of features in terms of user interface, sending and receiving reports, easy to use, it can be dealt with automatically, rely on it on a daily basis to communicate with departments within the company, and notifications within the program appear clearly","No, the program is full of advantages that make its weaknesses non-existent. The integration with your existing business also does not have any problems",4,5,3,4,4,8,1,0,1,0,1,0,1,0,0,0
Zoho Desk,Good helpdesk solution,"Great way to central requests coming from a support department, such as IT, creative, marketing etc.",I like that this helpdesk solution is flexible enough to allow for various usage - in my case we used it to field digital marketing and creative requests.,There could be more of a choice of dashboards to set.,5,5,5,5,5,10,1,0,0,0,1,0,0,-1,0,1
Zoho Desk,Scalable Help Desk,Zoho Desk is an easy to learn help desk for most sized teams.,"Zoho Desk is an easy to use, easily scalable help desk option for teams of many sizes. The interface is intuitive​and nicely designed. It is affordably priced compared to other options and integrates well with other Zoho products.","With the simplicity of Zoho Desk came a lack of more advanced tools. Otherwise, no complaints.",4,5,,3,,5,1,0,0,0,1,1,0,0,-1,0
Zoho Desk,Our 24x7 fault ticket management runs on Zoho Desk,"We are extremely happy with Zoho Desk, so our customers. Our customer make fault tickets 24x7 and we can respond every tickets as per SLA. We also use Zoho Assist which is integrated with Desk. As a result, whenever remote support session is needed, that can be done withing the tickets. Our customer like this most. Everything is possible for Zoho Desk.",Setup is very much easy. We have customised the login panle and other features as per our requirement. We offer 24x7 remote support and fault ticketing for our customer. Zoho Desk made it possible.,Reporting section is not very much organized. Zoho should work out for reporting section.,5,5,4,5,5,10,1,0,0,1,1,1,0,-1,0,1
Zoho Desk,Helpful tool for management,"It is better than previously used app and gets things done,","It is optimised for initial starting business and tasks can assigned reassigned and updated, u can divide the task, categories them based upon the projects",It has some glitches and maintenance time is little bit high,3,3,3,2,3,7,1,0,1,0,0,0,-1,0,1,0
Zoho Desk,A complete software suite,Pros:The sheer number of features and application that could be used together with Zoho is amazing. Without Zoho we needed to use a patchwork of mostly average SaaS products which were almost impossible to properly integrate with each other. Zoho solved that problem admirably,"Cons:The application feels very slow to use. Due to this issue a lot of the more interesting features of the app remains unused. For example, most of my colleagues didn't know there was a chat functionality in the system as no one explored it too much",,5,4,4,5,5,10,1,-1,0,0,0,0,0,0,1,1
Zoho Desk,A system that understands how important customers are,"This system allows problems to be managed more quickly, its efficiency has allowed large organizations to be able to respond in a timely manner to the requirements that professionals present or, mainly, clients, it is easy to understand, apply and manage thanks to its interface","It is a tool that increases customer loyalty and even allows analyzing customer opinion, it is the type of system that is organizationally fundamental, if you work with trading systems as well as those that provide a service, this allows in an understandable way and that provides solutions to customers mainly","The tool is one of the systems that are not usually difficult to understand digitally. In addition, if you have doubts, there is online advice to make the best use of it.",4,5,4,5,5,9,1,0,1,0,1,-1,0,1,0,1
Zoho Desk,Best tool for ticket management.,"Overall, it is a solid option for businesses looking for an all-in-one customer service solution. It may not have all the features that some of the large customer service software have, but it is cost-effective and easy to use. Additionally, it offers a free plan and a free trial, which allows businesses to test it before committing to a paid plan.","It offers a variety of features such as an intuitive interface, automated workflows, and integrations with other Zoho apps and third-party tools.","It may not have all the features that some of the large customer service software have, but it is cost-effective and easy to use.",5,4,3,5,4,8,0,1,0,-1,0,1,0,0,1,0
Zoho Desk,Very easy to implement,It's positive and promising,"It's very easy to implement. We are just starting to use this system, so there's not much to add at this point, but things look promising!",It's not integrated with Microsoft products and services much...,4,5,4,4,4,8,1,0,0,0,0,-1,0,0,0,0
Zoho Desk,Good but support...,"Pros:I like that it is very well integrated into Zoho environment. So sometimes it can be useful to connect Zoho Forms, Zoho Projects and Zoho Desk together.I like that you can customize a complete FAQ, receive tickets, answer them with automated messages and assign agents to tickets.Integrating your mail and so answering to your clients directly on Zoho Desk save you time, I guarantee it !",Cons:Zoho Desk (and all Zoho tools) has 2 big problems : 1/ Support doesn't know what they say to you (2 employees can say totally the opposite)2/ Zoho tools are not fully compatible between them...,,4,3,1,3,3,7,-1,0,-1,0,0,1,0,0,1,1
Zoho Desk,Easy and professional,It is a professional app which gives me almost all that I need to support our customers,It is very easy to use and setup.It has a lot of features to set all that you need for your working process.Workflow and supervise rules can help you with almost every automated rules you needThe developing team is offering new features that will definitely help the administrator.Integration with a lot of helpful apps to fulfill your task in a better way ex. Telephone apps,Support is not as good as the productCan not deactivate new theme mode once it is activated.Sometimes Timer rules are not working,4,5,3,5,,8,1,0,0,0,0,1,-1,0,1,0
Zoho Desk,Zoho Desk it's the best application I've ever used,Zoho Desk it's the best application I've ever used,Zoho Desk makes it easy to manage tickets and has an easy to use interface. It has very good CRM features,since I use Zoho Desk it works fine for me.I haven't had any complications yet,5,5,,4,,9,1,0,0,0,1,1,0,0,0,0
Zoho Desk,Affordable platform,"Pros:Affordable, have functions most platform has",Cons:no app for apple mail or apple desk top.I’d like integration with apple desktop.,Switched From:Zendesk Suite,4,4,2,4,3,8,1,0,0,0,0,1,0,0,0,-1
Zoho Desk,Best customer relationship building platform!,"Excellent platform for managing your customers, handling their queries, and giving them a constant satisfied service",Its ticketing system is really excellent. It helped our help desk team in managing and building a strong relationship with our customers by providing effective customer services.,UI/Interface can be improved. One major drawback of this software is its missing desktop application.,4,5,4,4,4,9,1,0,0,0,1,0,0,1,-1,0
Zoho Desk,Efficient job ticket system with reference numbers and easy searching for past jobs,Improved work flow,"Each ticket has a direct correspondence window (Thread) as well as an internal comments section where our team can communicate progress, status updates or issues in the comments, while not involving the client.This keeps all of the information related to the ticket in one place, which is very important while working on a team.In addition, you can reassign tickets or mention (@TeamMember) another colleague, which Zoho Desk will alert that team member and send a link to access the ticket directly.This has been incredibly helpful while working for a software company, as there are times where we need to escalate tickets for further investigation and can do so easily by mentioning other department members and/or reassigning tickets.","When searching through prior tickets, I wish there were more filters than just Relevance and Modified Time.",5,5,5,5,5,10,1,0,1,0,0,0,0,-1,1,0
Zoho Desk,"Complet et fonctionnel, mais peu ergonomique",Globalement le suivi de ticket est de bonne qualité mais on perd facilement du temps à chercher les informations dans un système globalement contrintuitif.Les notifications sont difficilement utilisables du fait qu'un simple clic sur la cloche retire le compteur de notification. De plus l'empilage de notification par ticket n'est pas lisible.,- Le suivi de l'historique des clients- Le système de tagging- Personnalisation des status/workflow- Lien avec la base de connaissance,- L'ergonomie est contrintuitive- Les notifications sont inutilisables- Pas de mise en avant des pièces jointes- La recherche n'est pas fiable,4,2,2,3,,6,-1,0,1,0,0,1,-1,0,1,0
Zoho Desk,Developing a help desk with enterprise characteristics,"Zoho Desk is a good approach to manage external customer support inquiries as well as a general helpdesk for employee support. Internally, the ability to distribute activities and rapidly detect and escalate any issues that are taking longer than usual to fix aids in providing good service and meeting SLAs with customers. There are numerous helpdesk solutions available today, but few can match Zoho Desk's capability at this pricing point.","It's quite simple to set up and configure. You create a profile for your company and then submit your clients and contacts. You define permissions for your teams and our groups, as well as the products that are supported. Once configured, you can quickly track requests received via email and phone, as well as activity on social media sites like Twitter and Facebook.","Some features are difficult to configure, and the graphical interface isn't particularly appealing. The FAQ section is difficult to locate.",5,5,5,5,5,10,1,0,1,1,1,-1,-1,0,0,1
Zoho Desk,Wonderful alternative!,Pros:This tool is very easy to use! I recomend this for everyone. Sheets are very transparent.We have a lot of space.,Cons:Everything is fine. I didn't have any problems with Zoho,Switched From:Microsoft Excel,5,5,5,5,5,10,1,-1,0,0,1,1,0,0,0,0
Zoho Desk,Perfect!,"Pros:It's perfect for our needs. Easy to use, navigate, and customize.",Cons:No cons here. The product is wonderful for us.,Alternatives Considered:Zendesk Suite,5,5,5,5,5,10,1,0,0,0,0,0,0,0,1,0
Zoho Desk,Cheap CRM for Startups -Easy to use.,"Pros:The software is very easy to use, doesn't require training for the team.","Cons:Reporting system is not very robust, AI layer is also very basic.",Alternatives Considered:HubSpot CRM,3,5,3,2,4,6,0,0,0,0,0,0,0,-1,1,0
Zoho Desk,Logiciel de service client,Les problème qu'il me permets de résoudre sont sur le suivi des Ticket,L'intégration avec le produit a été facile et ce que j'ai apprécié est l'éfficacité des gestionnaires,Certains des processus sont difficileset les notification sont difficiles à utiliser,4,5,4,4,4,9,1,0,1,0,0,0,-1,0,0,0
Zoho Desk,Zoho Desk works with clients requests,"Overall, an excellent product! If you want to improve the efficiency of your operations. Zoho is the answer! Furthermore, the cost is extremely fair.","I like Zoho Desk's flexibility of use and convenience of setting up business operations since it makes things run smoothly. I admire the layout of the client site, where you can see all the necessary details, along with requests, pending work, and deadlines. The fact that it is so logical and simple to use is what I enjoy best about it.","The software is among the digital systems that are often not too complicated to operate. Additionally, online assistance is available if you have questions about how to utilize it effectively.",5,5,5,4,4,9,1,1,0,0,0,1,-1,0,0,0
Zoho Desk,More specific attentions,"Customers are important to companies, so this tool allows customers to respond more quickly","One of the qualities of this tool that I generally like is that it has functions that increase the number of customers that you usually have, being one of the most complete customer service tools, allowing everything from automation to self management for better operations.","I did not find it a complicated or difficult tool to implement, its functions help large or medium-sized companies to achieve their objectives",4,5,4,5,5,9,1,1,0,0,1,0,0,0,-1,1
Zoho Desk,Migration to free to premium one of the best decisions I've made,"We had been using the free version for several year, and quite frankly, under-utilized it.Our growth lead me to explore various,more robust solutions, and as it turns out - Zoho Desk's premium version gave us what we needed.",Cost and ease of getting set up.Support personnel always helpful.,"Due to the power of the product, it's a bit complicated to do advanced configuration.There are features that we'd never consider using, so they clutter things up.Configuring the portal not as flexible as I'd like (unless you're a power programmer).Still good - but could be better",5,5,5,5,5,9,1,0,0,0,-1,0,1,0,-1,0
Zoho Desk,MUY COMPLETO,"Pros:Es de los más completos que conozco, pero en la versión más cara, que aún así, es la más económica del mercado, con onmicanal, voz, chat, etc.","Cons:Es un poco engorroso encontrar las funciones en los menus, pero hace tan tantas cosas que es normal.",Alternatives Considered:Zoho CRMandZoho Workplace,5,4,3,5,,9,0,0,0,0,0,0,0,0,-1,1
Zoho Desk,Zoho ticketing eval,general tracking is good and customization capabilities are moderate.Cost for smaller businesses isn't a good value.,"Ability setup agents, customer companies and several contacts within customer contacts.Numerous settings for tracking tickets like vehicle of initiating ticket, additional classifications within product line.","Reporting could be expanded on free to evaluate.full software isn't cost effective for small companies.Would like to see what options beyond general ticketing.for example, fixed, bug, future development options to move tickets into.",3,4,,3,,5,1,0,-1,0,0,1,0,-1,0,0
Zoho Desk,Useful for evolving businesses,Pros:This is highly adaptable to existing processes and software. It serves as a unification/end point for multiple alerts and tickets so we can check them all from one place. The automation in replying or routing a ticket is a big time saver as well.,"Cons:In order to incorporate it into other processes or software, it is not the most intuitive and requires the help of their customer support. But their support is pretty helpful and responsive, so this shouldn't be too big of a concern.",,5,4,5,5,5,8,-1,1,0,0,0,0,0,0,1,0
Zoho Desk,Best tool to start with the support team for your products and startups.,"The experience is very satisfactory, Zoho has evolved a lot in these years and applied a lot of practical features in place. Any product startup must have this desk platform for easy onboarding and servicing of their customers.","This product is very inexpensive yet effective. The productivity metric that you can draw out is really very practical. When meeting SLA (Service Level Agreements), this product is going be a boon for you. There are so many options to choose from when a customer creates a ticket. It is also enabled with AI sense that automatically searches a keyword in the description and auto-suggests articles and public docs from the knowledge base. It is known to save a lot of time. This also helps you to automate repetitive tasks and workflow via templates.","No such cons, but it would be much nicer to have more dynamically editable properties like ticket statuses, internal titles, and primary and secondary contacts. Auto trigger or manager recoveries etc. But overall, it does its work decently.",5,5,5,5,5,10,1,0,1,1,0,1,0,1,-1,0
Zoho Desk,Zoho Desk Review,"Pros:Zoho Desk has a beautiful and well organized dashboard. Has a very stable cloud, I’ve never experienced any hitch or data issue. It’s pocket friendly, you don’t have to robe a bank to afford. Ticket creation and allocation to available agents is fast and easy. Live chat feature is superb, reduces the wait time to sort out clients. Zoho Desk reporting system is powerful, I’m able to build and customize in several ways. Integrates well with other Zoho products.","Cons:You’ll get value for money with Zoho Desk. I give the tool a 5star rating, no challenges so far, I’m a happy user",,5,5,,5,,10,1,0,-1,0,0,0,1,1,0,0
Zoho Desk,Zoho Desk - Fully Featured Helpdesk Solution for Internal or Public Facing Use,"Zoho Desk works well as a general helpdesk for employee support as well as being a good way to manage external customer support requests. The ability to delegate tasks and quickly identify and escalate any issues that are taking longer than usual to resolve helps to provide a good service internally and to meet SLAs with customers. There are many options for helpdesk solution today, but few can match the functionality of Zoho Desk at this price point.","- Ease of use- Supports multiple ticket channels - web form, email, telephone, social media- Knowledgebase for self serve solutions- Integration with other Zoho modules- Reporting gives good visibility to support team performance for management",- Email branding caused some issues- Can take some time to configure correctly,4,4,,4,5,8,1,0,0,1,1,1,-1,1,-1,1
